"","MAG","strategy_broad","time","base","mean_lfc","se_lfc"
"1","12C16O_0h_100_P08_coass_bin.13","Middle Responders",3,9.02186220023664,0.800567874603402,0.81503387365135
"2","12C16O_0h_100_P08_coass_bin.13","Middle Responders",24,9.02186220023664,3.34365507380565,0.770829465252648
"3","12C16O_0h_100_P08_coass_bin.13","Middle Responders",48,9.02186220023664,3.38591570002159,1.03519858568414
"4","12C16O_0h_100_P08_coass_bin.13","Middle Responders",72,9.02186220023664,2.64512941844083,0.757401950667735
"5","12C16O_0h_100_P08_coass_bin.13","Middle Responders",168,9.02186220023664,1.77970218494633,1.54214587317003
"6","12C16O_0h_100_P08_coass_bin.5","Early Responders",3,7.04193525883021,4.40835531337855,NA
"7","12C16O_0h_100_P08_coass_bin.5","Early Responders",24,7.04193525883021,1.14039067124523,NA
"8","12C16O_0h_100_P08_coass_bin.5","Early Responders",48,7.04193525883021,1.54296648948465,NA
"9","12C16O_0h_100_P08_coass_bin.5","Early Responders",72,7.04193525883021,-0.992739878623296,NA
"10","12C16O_0h_100_P08_coass_bin.5","Early Responders",168,7.04193525883021,0.866057217091717,NA
"11","12C16O_0h_100_P14_coass_bin.15",NA,3,6.40663688057054,3.40020804996205,NA
"12","12C16O_0h_100_P14_coass_bin.15",NA,24,6.40663688057054,2.35569203837886,NA
"13","12C16O_0h_100_P14_coass_bin.15",NA,48,6.40663688057054,1.74094137310998,NA
"14","12C16O_0h_100_P14_coass_bin.15",NA,72,6.40663688057054,2.10264138344985,NA
"15","12C16O_0h_100_P14_coass_bin.15",NA,168,6.40663688057054,2.71993764515634,NA
"16","12C16O_0h_100_P16_coass_bin.1","Middle Responders",3,5.46933027485286,2.12995311991331,NA
"17","12C16O_0h_100_P16_coass_bin.1","Middle Responders",24,5.46933027485286,2.64002700982504,NA
"18","12C16O_0h_100_P16_coass_bin.1","Middle Responders",48,5.46933027485286,2.97191836072834,NA
"19","12C16O_0h_100_P16_coass_bin.1","Middle Responders",72,5.46933027485286,3.36369778207864,NA
"20","12C16O_0h_100_P16_coass_bin.1","Middle Responders",168,5.46933027485286,-0.00367085408965791,NA
"21","12C16O_0h_100_P16_coass_bin.2",NA,3,6.23093140331476,-0.648752765481928,NA
"22","12C16O_0h_100_P16_coass_bin.2",NA,24,6.23093140331476,-0.269769045547403,NA
"23","12C16O_0h_100_P16_coass_bin.2",NA,48,6.23093140331476,-0.168717735052478,NA
"24","12C16O_0h_100_P16_coass_bin.2",NA,72,6.23093140331476,0.236806755932552,NA
"25","12C16O_0h_100_P16_coass_bin.2",NA,168,6.23093140331476,-2.49769941133712,NA
"26","12C16O_0h_100_unf_bin.12",NA,3,5.95366317971271,2.68847984684817,NA
"27","12C16O_0h_100_unf_bin.12",NA,24,5.95366317971271,2.65521020772431,NA
"28","12C16O_0h_100_unf_bin.12",NA,48,5.95366317971271,3.51513440877576,NA
"29","12C16O_0h_100_unf_bin.12",NA,72,5.95366317971271,2.0203503675561,NA
"30","12C16O_0h_100_unf_bin.12",NA,168,5.95366317971271,2.00353641622755,NA
"31","12C16O_0h_50_P09_coass_bin.13","Middle Responders",3,12.8994027202649,4.29495630666721,0.320818856672169
"32","12C16O_0h_50_P09_coass_bin.13","Middle Responders",24,12.8994027202649,2.08707359783541,0.257096727774498
"33","12C16O_0h_50_P09_coass_bin.13","Middle Responders",48,12.8994027202649,1.03920214321243,0.318571698835811
"34","12C16O_0h_50_P09_coass_bin.13","Middle Responders",72,12.8994027202649,0.789864976255838,0.307504107170118
"35","12C16O_0h_50_P09_coass_bin.13","Middle Responders",168,12.8994027202649,0.39994029327923,0.362395116935042
"36","12C16O_0h_50_P09_coass_bin.5",NA,3,9.67496018265929,-0.586759304719358,0.171574945031388
"37","12C16O_0h_50_P09_coass_bin.5",NA,24,9.67496018265929,1.06215576167318,0.417579738438178
"38","12C16O_0h_50_P09_coass_bin.5",NA,48,9.67496018265929,1.67474936615575,0.903360442536646
"39","12C16O_0h_50_P09_coass_bin.5",NA,72,9.67496018265929,2.34605663110354,0.814869046796555
"40","12C16O_0h_50_P09_coass_bin.5",NA,168,9.67496018265929,0.12280513374284,2.29419879693879
"41","12C16O_0h_50_P10_coass_bin.14","Late Responders",3,7.5519669953996,-1.55949111583743,0.50259604834358
"42","12C16O_0h_50_P10_coass_bin.14","Late Responders",24,7.5519669953996,-0.180190665063918,0.363700896514028
"43","12C16O_0h_50_P10_coass_bin.14","Late Responders",48,7.5519669953996,1.14329589011475,0.46020179365768
"44","12C16O_0h_50_P10_coass_bin.14","Late Responders",72,7.5519669953996,1.15974641544439,0.718254844586017
"45","12C16O_0h_50_P10_coass_bin.14","Late Responders",168,7.5519669953996,2.52979147814705,0.584846970418987
"46","12C16O_0h_50_P10_coass_bin.29","Early Responders",3,10.0486334315756,4.77359161978878,0.30745595504787
"47","12C16O_0h_50_P10_coass_bin.29","Early Responders",24,10.0486334315756,2.40090367127078,0.431278127264011
"48","12C16O_0h_50_P10_coass_bin.29","Early Responders",48,10.0486334315756,0.384234196449155,0.889991961689236
"49","12C16O_0h_50_P10_coass_bin.29","Early Responders",72,10.0486334315756,-0.144833888042695,0.668572026379165
"50","12C16O_0h_50_P10_coass_bin.29","Early Responders",168,10.0486334315756,-0.359467171550822,0.559280366084396
"51","12C16O_0h_50_P13_coass_bin.10","Middle Responders",3,6.89697047800617,-0.85379803004857,0.53839940543094
"52","12C16O_0h_50_P13_coass_bin.10","Middle Responders",24,6.89697047800617,1.73043025447195,0.210335091933936
"53","12C16O_0h_50_P13_coass_bin.10","Middle Responders",48,6.89697047800617,2.20309721539542,0.158878587015956
"54","12C16O_0h_50_P13_coass_bin.10","Middle Responders",72,6.89697047800617,2.38318724033945,0.204871361111882
"55","12C16O_0h_50_P13_coass_bin.10","Middle Responders",168,6.89697047800617,2.3213480732542,0.276903569310982
"56","12C16O_0h_50_P13_coass_bin.12","Middle Responders",3,12.3688632933689,1.13737707032226,0.318685711522069
"57","12C16O_0h_50_P13_coass_bin.12","Middle Responders",24,12.3688632933689,2.38449850901346,0.24701128846026
"58","12C16O_0h_50_P13_coass_bin.12","Middle Responders",48,12.3688632933689,3.29303730241765,0.46922976048942
"59","12C16O_0h_50_P13_coass_bin.12","Middle Responders",72,12.3688632933689,3.19963095584288,0.637643522905163
"60","12C16O_0h_50_P13_coass_bin.12","Middle Responders",168,12.3688632933689,3.13954956468664,0.393205465157865
"61","12C16O_0h_50_P13_coass_bin.4","Middle Responders",3,28.4025461922796,4.78756396714116,0.340793548263406
"62","12C16O_0h_50_P13_coass_bin.4","Middle Responders",24,28.4025461922796,2.44531108498837,0.291762079192662
"63","12C16O_0h_50_P13_coass_bin.4","Middle Responders",48,28.4025461922796,1.23376089713203,0.68136463376838
"64","12C16O_0h_50_P13_coass_bin.4","Middle Responders",72,28.4025461922796,0.767239391895054,0.959951467846845
"65","12C16O_0h_50_P13_coass_bin.4","Middle Responders",168,28.4025461922796,1.02556381647781,0.928215537611276
"66","12C16O_0h_50_unf_bin.20",NA,3,5.51447203984076,-1.53131556588198,NA
"67","12C16O_0h_50_unf_bin.20",NA,24,5.51447203984076,1.08415254539404,NA
"68","12C16O_0h_50_unf_bin.20",NA,48,5.51447203984076,0.537010083051254,NA
"69","12C16O_0h_50_unf_bin.20",NA,72,5.51447203984076,-1.06332196733337,NA
"70","12C16O_0h_50_unf_bin.20",NA,168,5.51447203984076,0.611828802138887,NA
"71","12C16O_0h_50_unf_bin.25","Late Responders",3,6.33099141210019,2.79060996772975,NA
"72","12C16O_0h_50_unf_bin.25","Late Responders",24,6.33099141210019,2.72261866059809,NA
"73","12C16O_0h_50_unf_bin.25","Late Responders",48,6.33099141210019,2.69981961084462,NA
"74","12C16O_0h_50_unf_bin.25","Late Responders",72,6.33099141210019,2.69648539686071,NA
"75","12C16O_0h_50_unf_bin.25","Late Responders",168,6.33099141210019,2.5672052861677,NA
"76","12C16O_0h_50_unf_bin.34","Middle Responders",3,5.00192388705436,1.74213467311223,NA
"77","12C16O_0h_50_unf_bin.34","Middle Responders",24,5.00192388705436,3.07259360104267,NA
"78","12C16O_0h_50_unf_bin.34","Middle Responders",48,5.00192388705436,2.96799125468174,NA
"79","12C16O_0h_50_unf_bin.34","Middle Responders",72,5.00192388705436,2.59154578051949,NA
"80","12C16O_0h_50_unf_bin.34","Middle Responders",168,5.00192388705436,0.956449260152821,NA
"81","12C16O_168h_100_P08_coass_bin.1","Middle Responders",3,27.691032999677,2.49956090751846,NA
"82","12C16O_168h_100_P08_coass_bin.1","Middle Responders",24,27.691032999677,2.92388037006513,NA
"83","12C16O_168h_100_P08_coass_bin.1","Middle Responders",48,27.691032999677,1.56673654946269,NA
"84","12C16O_168h_100_P08_coass_bin.1","Middle Responders",72,27.691032999677,1.23232347443335,NA
"85","12C16O_168h_100_P08_coass_bin.1","Middle Responders",168,27.691032999677,1.28854002380184,NA
"86","12C16O_168h_100_P08_coass_bin.11","Middle Responders",3,11.344138297949,3.08415136721568,0.721816943017746
"87","12C16O_168h_100_P08_coass_bin.11","Middle Responders",24,11.344138297949,3.19049860446035,0.352227334352615
"88","12C16O_168h_100_P08_coass_bin.11","Middle Responders",48,11.344138297949,3.46116588739975,0.34821934618542
"89","12C16O_168h_100_P08_coass_bin.11","Middle Responders",72,11.344138297949,2.24436639447037,0.406225498600746
